Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Lead,10,22,75.52294921875,100.70437474980916,3.071247786283493,3.0933143571019173,0.08737906830429765,0.48841866364061143,64.72669807262719,309.153555393219,0.0011595468339065799,4614,0.01760101318359375,20224.0
w/o_Tin,10,22,78.17030334472656,104.06242961709331,3.1776219606399536,3.2081935554742813,0.09029278206980403,0.475802683398972,66.98279390111566,537.9114017486572,0.0009649034463711597,4614,0.01760101318359375,20224.0
w/o_Zinc,10,22,74.79610443115234,99.59850553440799,3.066856786608696,3.0699124559760094,0.08641952547747757,0.4821440491288966,64.49207896366715,316.40923047065735,0.0014444633377456106,4614,0.01760101318359375,20224.0
w/o_Nickel,10,22,75.41148376464844,100.44553580952466,3.104684501886368,3.0972929671406746,0.08715447614094692,0.48654962953073894,65.28606433421373,209.5978558063507,0.0014613661997118711,4614,0.01760101318359375,20224.0
w/o_Copper,10,22,73.82011413574219,99.86000943508367,3.046961687505245,3.0360406264662743,0.08664642797374926,0.48347907349309127,64.0090367756784,382.6365294456482,0.0009541140428898793,4614,0.01760101318359375,20224.0
FULL,10,22,75.635498046875,100.45308003770964,3.097197599709034,3.1027523800730705,0.08716102318753383,0.4893531806955477,65.1746241375804,312.70259642601013,0.0010227992496126374,4614,0.01760101318359375,24672.0
w/o_Copper_Lead_Nickel_Tin_Zinc,10,63,137.42312622070312,181.9471076989134,5.431074276566505,5.642683058977127,0.157871681594021,0.49153340712653965,337.07892019301653,186.95822024345398,0.0010583436099994784,5311,0.020259857177734375,5008.0
w/o_Lead_Nickel_Tin_Zinc,10,63,120.66447448730469,157.24944107611321,4.89686131477356,4.957832023501396,0.13644202639896275,0.49551353006288124,303.1447988934815,176.26508331298828,0.0014662590507937467,5311,0.020259857177734375,8688.0
w/o_Copper_Lead_Tin_Zinc,10,63,198.92784118652344,250.81215736333436,7.822708785533905,8.299347758293152,0.21762443757626068,0.49612585666847225,485.15373934060335,184.03177213668823,0.0017221801712534195,5311,0.020259857177734375,8688.0
w/o_Copper_Lead_Nickel_Tin,10,63,120.86872863769531,157.992088409515,4.903614521026611,4.962562024593353,0.13708641730782256,0.48694095758460704,303.6343164741993,333.5158712863922,0.001848106568220461,5311,0.020259857177734375,8688.0
w/o_Copper_Lead_Nickel_Zinc,10,63,126.1032485961914,168.32098242643428,5.046847090125084,5.205896124243736,0.14604857604053675,0.4879065495395775,313.3912031073123,436.64264845848083,0.0011742171618634232,5311,0.020259857177734375,8688.0
w/o_Copper_Nickel_Tin_Zinc,10,63,179.37432861328125,230.69164010102315,7.038824260234833,7.433832436800003,0.20016627777165794,0.4941004686653635,436.4383237436414,183.74351477622986,0.0015945706947620968,5311,0.020259857177734375,8688.0
w/o_Lead_Tin_Zinc,10,63,140.44769287109375,184.30442505200466,5.6071896106004715,5.785251408815384,0.15991707427382715,0.4955841831327571,347.5752147845924,181.42599058151245,0.0015715693154037882,5311,0.020259857177734375,12560.0
w/o_Lead_Nickel_Tin,10,63,118.35137176513672,155.32956395194057,4.818775877356529,4.85517792403698,0.13477619030470434,0.49245189703492614,298.9655613899231,231.63627099990845,0.0016392826680259817,5311,0.020259857177734375,12560.0
w/o_Lead_Nickel_Zinc,10,63,119.76642608642578,156.2772913665802,4.8425402492284775,4.917535185813904,0.1355985231875338,0.49245189703492614,300.19987393170595,179.66403603553772,0.001202803337255642,5311,0.020259857177734375,12560.0
w/o_Nickel_Tin_Zinc,10,63,119.55694580078125,155.02688778886068,4.866737872362137,4.910939186811447,0.13451356701633665,0.48903699865759165,301.9158946350217,219.13016557693481,0.0017166307488959338,5311,0.020259857177734375,12560.0
w/o_Copper_Lead_Tin,10,63,155.96145629882812,198.4104016930564,6.256718188524246,6.443263590335846,0.17215652962310182,0.4906384682414451,388.30270394682884,262.3847277164459,0.0014171982377502261,5311,0.020259857177734375,12560.0
w/o_Copper_Lead_Zinc,10,63,126.13288116455078,165.58796755803243,5.099378898739815,5.190841108560562,0.1436771947235967,0.48868373330821224,316.18437161669135,219.6645474433899,0.0015664977914147985,5311,0.020259857177734375,12560.0
w/o_Copper_Tin_Zinc,10,63,191.84034729003906,245.17139253744512,7.526937872171402,7.95338898897171,0.21273005355206057,0.49513671369020984,466.70847348868847,221.462060213089,0.0005763164259913414,5311,0.020259857177734375,12560.0
w/o_Copper_Lead_Nickel,10,63,120.0879135131836,159.5508833413341,4.833554849028587,4.933808743953705,0.13843894842648444,0.4924283460116342,299.7067902237177,196.305180311203,0.0009557546423167786,5311,0.020259857177734375,12560.0
w/o_Copper_Nickel_Tin,10,63,126.33984375,169.17391776844622,5.03871887922287,5.1943037658929825,0.14678865047959588,0.48531593697746167,312.7409969456494,281.1244606971741,0.0011309020950815445,5311,0.020259857177734375,12560.0
w/o_Copper_Nickel_Zinc,10,63,118.1484603881836,157.67508869111188,4.761338606476784,4.852160811424255,0.1368113619127914,0.48738842702715435,295.35297378897667,320.62480425834656,0.0014600318687959665,5311,0.020259857177734375,12560.0
w/o_Lead_Tin,10,63,130.40516662597656,169.2304791641417,5.278734117746353,5.364151671528816,0.1468377301594698,0.48830691693554085,327.52980599179864,311.5574162006378,0.0014733886152771176,5311,0.020259857177734375,16624.0
w/o_Lead_Zinc,10,63,123.51837158203125,164.95347355390854,4.953670874238014,5.0803933292627335,0.14312666026216772,0.4816419773439156,307.31716388836503,300.528169631958,0.001515620186350112,5311,0.020259857177734375,16624.0
w/o_Tin_Zinc,10,63,152.58465576171875,197.16038838975743,6.054956093430519,6.285010278224945,0.17107191768489005,0.48929605991380326,375.6428590975702,222.77498388290405,0.0016494808989391836,5311,0.020259857177734375,16624.0
w/o_Lead_Nickel,10,63,113.57281494140625,151.28402897158378,4.5845042914152145,4.660173878073692,0.13126596711462843,0.4827488754386378,284.55186216160655,496.8833727836609,0.0009740138266136102,5311,0.020259857177734375,16624.0
w/o_Nickel_Tin,10,63,126.93989562988281,168.3594496809579,5.0939541310071945,5.21797202527523,0.14608195340038627,0.48861308023833633,315.5926696024835,203.9602391719818,0.0015128263733861001,5311,0.020259857177734375,16624.0
w/o_Nickel_Zinc,10,63,117.22899627685547,155.98836219611064,4.727670177817345,4.8096925020217896,0.13534781565635157,0.49136854996349594,293.2054350152612,227.4253590106964,0.0013111967715028485,5311,0.020259857177734375,16624.0
